Nested Sampling Global Log-Evidence           :   -0.112896555638982633E+03  +/-    0.840064935212712915E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.112896555638982633E+03 +/-    0.840064935212712915E-01
Local Log-Evidence   -0.112896555638982633E+03 +/-    0.840064935212712915E-01

Dim No.       Mean        Sigma
   1    0.623587629357005966E+02    0.110843469744570982E+02
   2    0.205977810009846454E-01    0.212891187903790982E-01
   3   -0.163374307531039031E+01    0.398852905735824104E+00
   4   -0.145429829488296880E+01    0.590157723368236686E+00
   5    0.913430349400142177E+03    0.483706432925117383E+03
   6    0.514085530529039545E+02    0.743375708370774269E+00
   7    0.481611985704981579E-01    0.351699687874471589E-01
   8    0.110854505589062541E+00    0.978938860167525154E-01
   9   -0.344959006049624062E+01    0.202975905982476945E+01
  10    0.240108351115775021E+01    0.150004946591141386E+00
  11   -0.267316741748193087E+00    0.382275126841903734E+00
  12   -0.168439025350773797E+01    0.172538764264028655E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.716750284288490889E+02
   2    0.305224254990651943E-01
   3   -0.169405700866528841E+01
   4   -0.193832105992894399E+01
   5    0.459218762839775650E+03
   6    0.506516492892140135E+02
   7    0.234272978517463537E-01
   8    0.102750641227787542E+00
   9   -0.462156093518456590E+01
  10    0.250860731850164198E+01
  11   -0.985059385394979614E-01
  12   -0.185520619604842452E+00

MAP Parameters
Dim No.        Parameter
   1    0.716750284288490889E+02
   2    0.305224254990651943E-01
   3   -0.169405700866528841E+01
   4   -0.193832105992894399E+01
   5    0.459218762839775650E+03
   6    0.506516492892140135E+02
   7    0.234272978517463537E-01
   8    0.102750641227787542E+00
   9   -0.462156093518456590E+01
  10    0.250860731850164198E+01
  11   -0.985059385394979614E-01
  12   -0.185520619604842452E+00
