Nested Sampling Global Log-Evidence           :   -0.160423443736834457E+03  +/-    0.873544745114482324E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.160423443736834457E+03 +/-    0.873544745114482324E-01
Local Log-Evidence   -0.160423443736834457E+03 +/-    0.873544745114482324E-01

Dim No.       Mean        Sigma
   1    0.668712026876536498E+02    0.774562462640207183E+01
   2   -0.164673451520636926E+01    0.377312676450018036E+00
   3   -0.140862490388425932E+01    0.547054230977546463E+00
   4    0.135799452003616764E-01    0.918755595984247983E-02
   5    0.834814231364068178E+03    0.367339887677615934E+03
   6    0.514061379881582710E+02    0.652779386176608134E+00
   7    0.285533402974408219E-01    0.128057117567823443E-01
   8   -0.468360198064783795E+01    0.852518941073581615E+00
   9    0.245503844212704081E+01    0.967712545014093872E-01
  10   -0.163829024111489502E+00    0.159516974286320917E+00
  11   -0.116992112943704263E+01    0.820081498934453479E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.747122333543926800E+02
   2   -0.192039788039174431E+01
   3   -0.147182577460828701E+01
   4    0.178947263112220166E-01
   5    0.515056484551016410E+03
   6    0.512934796776789526E+02
   7    0.153857612600797403E-01
   8   -0.542779767640084909E+01
   9    0.248494954391592726E+01
  10   -0.406015110424810644E+00
  11   -0.125967061240324085E+00

MAP Parameters
Dim No.        Parameter
   1    0.747122333543926800E+02
   2   -0.192039788039174431E+01
   3   -0.147182577460828701E+01
   4    0.178947263112220166E-01
   5    0.515056484551016410E+03
   6    0.512934796776789526E+02
   7    0.153857612600797403E-01
   8   -0.542779767640084909E+01
   9    0.248494954391592726E+01
  10   -0.406015110424810644E+00
  11   -0.125967061240324085E+00
