inclination_EM luminosity_distance log10_E0 thetaCore thetaWing log10_n0 p log10_epsilon_e log10_epsilon_B KNtimeshift Ebv log_likelihood log_prior
0.0077415394259380795 2286.1041069289377 54.02811722244486 0.09628869309699246 0.45638752348021844 0.7439650101824249 2.092094196923479 -1.5271423106694382 -5.698625338678795 0.0 0.0 -115.79001248549696 -12.511259875242683
0.09657712031200369 945.6741981593616 50.5740331264121 0.1635078831406325 0.13951319823368086 -3.9429983467444196 2.8234294864132004 -0.18888802718557773 -0.40517287296714954 0.0 0.0 -115.75130167063872 -13.21197460759339
0.026395401685463685 2157.6411612103125 53.28591452138129 0.08416141347158954 0.27303810974856313 -0.5597609069419516 2.3331312779213556 -0.28230697602916965 -5.777613012563095 0.0 0.0 -114.86120329731675 -12.422594857969298
0.050544598571348874 2029.7421319777561 51.976846128663645 0.21455966039600968 0.5215876065173869 1.0215384257692302 2.1661711851503918 -0.6016798246704962 -4.026564293481261 0.0 0.0 -114.32227210641797 -13.336760517572305
0.07976839093542513 559.9591104530903 53.04842414617329 0.11577876745756684 0.3846151731803049 1.2506785679945773 2.2887345701462856 -0.9552603440827347 -6.421520974458236 0.0 0.0 -114.03129703054492 -12.92969972649978
0.06842903343583619 1235.030464169324 51.367820791306634 0.09783974451514146 0.37528470369270794 -0.5018890757476315 2.222905214587889 -0.354264462576416 -2.7295793933388 0.0 0.0 -113.77207050350312 -12.76858741688411
0.014766066334166668 1455.158032272006 51.98336524514659 0.06269963712488724 0.1725834734046872 -4.236367767805982 2.6071143021765977 -0.40400290594689636 -1.704711392186816 0.0 0.0 -113.40692182483812 -12.106763875036357
0.0462822254195117 1505.3083494087812 51.73789601087496 0.12727569401341943 0.4884122443843779 0.0314976423112352 2.2173474183681376 -0.007012399144948667 -4.0603364085734714 0.0 0.0 -113.04236494738211 -12.853148653268367
0.01940981754397279 1081.4729063813802 52.84994870105287 0.06816966734367594 0.16041822469332542 -0.47849164913887954 2.0215383196699177 -1.167252418268654 -3.500608879889713 0.0 0.0 -112.81204725538075 -12.203211697702969
0.076608403522192 987.9790233849851 51.816314784983305 0.2132301128806115 0.24772087542227553 1.11276560078901 2.227475341412216 -0.7818255768991573 -4.0226511887884095 0.0 0.0 -112.72805719645211 -13.367358176720582
