log10_mej_dyn log10_mej_wind inclination_EM luminosity_distance log10_E0 thetaCore log10_n0 p log10_epsilon_e log10_epsilon_B KNtimeshift Ebv log_likelihood log_prior
-2.0703144366752206 -0.8613542933551535 0.003295772849360876 929.3813083485699 53.64406559784403 0.08703369151177469 1.1231166726577309 2.3834536000891884 -1.907427463992387 -5.244071378144119 0.0 0.0 -161.46742399830066 -14.271505778024078
-2.206654160130478 -1.3455702271114405 0.07052107296775803 761.9678626660766 52.599746240616895 0.07407533737046577 0.22277889359288228 2.3274050894579394 -0.5277268188384303 -5.09912817774736 0.0 0.0 -161.32003840340974 -14.56274551210796
-1.2914968574053125 -1.7106667013245813 0.014746650862991461 1426.9076477565798 51.832786533814314 0.0189611300816763 -4.818078767131481 2.7646433858395656 -0.4605372966990826 -0.7795155392782753 0.0 0.0 -160.4040977152856 -13.049317024027925
-2.200747717907075 -0.6273846679906141 0.00848284631186121 1059.6961061114457 52.08673080262008 0.07851012983036204 -1.734537214990211 2.353900381929249 -0.1129890032559846 -4.153481484135356 0.0 0.0 -160.13620188871982 -14.173558312875862
-2.052097895115783 -1.3071985472779746 0.008816468775355395 1253.9656153346764 53.91886164352069 0.08572971660856966 1.6610774847941272 2.121674338450664 -2.263248331802763 -5.448490105120341 0.0 0.0 -159.5848231154665 -14.260981070636063
-1.3917283240121812 -1.1168128041734855 0.00648677554480134 1945.76656509883 53.59691387041774 0.0907029262796673 1.0806479101779738 2.2087137949218087 -1.5373457984733676 -5.299461998586917 0.0 0.0 -158.87656440286372 -14.314640431440576
-1.8586768423169917 -1.2587877662788656 0.01963770981157569 1030.1266636709795 52.02194971627658 0.02235325890733429 -4.023320196796536 2.715286739735496 -0.21706910783151212 -2.2066007237628877 0.0 0.0 -158.57123478537582 -13.297361353540097
-1.2520515643103791 -2.695263758330342 0.002433526864904687 1720.4548170284259 51.98936738298224 0.025816595041999457 -4.529209521370366 2.421464865392551 -0.5210535630623072 -1.0772733316121226 0.0 0.0 -158.24181507839825 -13.05995366817227
-1.334450038045054 -1.899367140502669 0.007380738044984238 2016.4762331857944 54.40684878321288 0.010531865937296504 -4.963660700704736 2.4593761959759997 -0.06195153055155256 -5.224993321304293 0.0 0.0 -157.95859629752658 -12.404459749199471
-2.63645143008716 -0.9497497212406469 0.031003446737730304 1311.691166178957 51.231623800877784 0.05358507864537771 -2.7290310219350973 2.4786171433513813 -0.2530175564732815 -1.5828385526505162 0.0 0.0 -157.9028640932859 -13.953143617572373
-1.4958007892629084 -1.3071509684745273 0.012659194357307989 2203.3676155953863 52.92733205499058 0.01236783694465062 -5.827133340182606 2.4250153096174913 -0.8514667117672952 -0.587994108168413 0.0 0.0 -157.77858440871182 -12.843427950424154
-2.4206356871789403 -1.5900709262431691 0.021802002296830544 681.872681805554 53.66727686959402 0.09351428128601606 0.8397743282033181 2.1616638934992904 -1.9804945459739143 -5.754476709480532 0.0 0.0 -157.76173878725876 -14.369784992906542
-1.4459929282953015 -2.3587423305498 0.012104522003576305 2030.5348370694485 52.38506197267284 0.03646109425886594 -4.590142691188877 2.4811882151809965 -0.31144447337118564 -1.9878088901026612 0.0 0.0 -157.70377883949214 -13.455846161745917
-2.5815960010848613 -0.6621000017126626 0.010225482420053165 1259.6348466657798 52.73376646393892 0.07678324149328625 -0.3019270722130871 2.2327407094159013 -1.0746155831710547 -4.2339848176337185 0.0 0.0 -157.61980222947116 -14.154347469926911
-2.012493910619847 -2.626067181462052 0.017334091215898306 2204.4124463138296 52.40254871835063 0.022173231174399642 -5.13941103401265 2.468207004955167 -0.12275017734911842 -1.6779380225727873 0.0 0.0 -157.4633868805387 -13.2089516948704
-2.381336002820809 -1.827302182676827 0.008882451461369905 935.827232006025 53.372645520420974 0.01101215442625114 -5.895113177735136 2.4982367083190375 -0.468669511390428 -2.986643724354586 0.0 0.0 -157.34296084409223 -12.528798375703477
-2.1930248489178634 -1.2864419390905617 0.027687503754482215 741.3973474215203 52.9097566996572 0.11209143466756803 1.6371961913004576 2.205705218776863 -1.9882817173615153 -4.646122079125478 0.0 0.0 -157.10783330501064 -14.554314936287156
-1.1284278850516882 -2.3965083871200035 0.0033622556273161137 2873.396995802818 52.77655246936425 0.028209100760438838 -4.083468894311212 2.2415136337318673 -0.11578508377738927 -2.713220440449117 0.0 0.0 -157.0217928438322 -13.15124132159518
-2.7475596186226587 -1.2708782782758796 0.014504442862706088 2753.2369865470687 52.336727928037845 0.03965528756539879 -3.347637527319278 2.3092927866275073 -0.3467029890022122 -2.1284798900338604 0.0 0.0 -157.00621526812654 -13.551609126974554
-1.9123029605095703 -2.1097740687157325 0.01857160464192184 2243.38609303217 51.77513772162776 0.05346058242976743 -3.4567967304398435 2.2859906833178205 -0.305159381860852 -1.5144211551790967 0.0 0.0 -156.98914612165584 -13.843777566566644
-1.850935355943098 -1.7500935695238453 0.02229292478919553 724.564225620214 52.01540938513685 0.033685172723806 -3.1464090574363035 2.295527803236554 -0.30805968747710377 -2.8025565356147766 0.0 0.0 -156.91957667117487 -13.54054239537718
-1.7752573680137818 -1.3461626839524592 0.016998188664714732 1407.5218541009954 53.335451373173555 0.019924929161060506 -3.998421761747948 2.5504458605703535 -0.22229239347937213 -4.005400780207836 0.0 0.0 -156.88494675864132 -13.160364881591317
-2.745002413694891 -0.6809211415783976 0.056038167372069445 693.7451383200288 53.02183729525306 0.046748418838768985 -0.5632962620431972 2.2839382367033605 -1.2666260925909305 -4.18155063152553 0.0 0.0 -156.84723737335855 -14.367736249967319
-1.4175231317150838 -0.8260938997435541 0.01754763808587233 1158.525741096433 52.39895807567697 0.01656487890034439 -4.3068298615868725 2.518742420437751 -0.14970271681838287 -2.1407849211740864 0.0 0.0 -156.8460384439849 -13.172865997373773
-1.8423438937905774 -1.1854739916475254 0.015494078763377769 2076.4337151528925 51.72911925357905 0.02224923165703826 -4.36141757956246 2.2102452560336854 -0.14033800710614486 -0.6601318214361402 0.0 0.0 -156.78677485420238 -13.149278490079357
-1.13984818866484 -1.393852441987857 0.017593117757558976 2137.9552833139114 51.456778818077055 0.052674621577901655 -2.871230980883368 2.1819210085245704 -0.14674920487348508 -1.4253149186513632 0.0 0.0 -156.68495983391986 -13.824403961451097
-1.6713117565797273 -2.452481130590946 0.01650133940948568 820.5741951939947 51.61553841767686 0.08191749572621632 -1.744450820654392 2.260480225562711 -0.12138879094846189 -3.469959741968502 0.0 0.0 -156.62205922826163 -14.23049482162882
-1.7984682305061641 -1.0152932720575727 0.029303060536928962 1550.7484841355988 51.90364469226148 0.036976460640529715 -3.7072792838629822 2.8383227254373686 -0.011852493091780936 -2.260591297880346 0.0 0.0 -156.61618875048276 -13.728786313347236
-1.1332417911197161 -0.9255348831493713 0.009423329914707089 1967.8380564444071 53.43966231798512 0.021285163600646702 -5.065679469280632 2.435506092435976 -0.22713688023479506 -3.5130659834614955 0.0 0.0 -156.61302691030411 -12.960503491328847
-2.3132453700285405 -2.1421098874241893 0.027818318136542106 629.1230502381267 51.12148969873651 0.053896638329273945 -3.839181241145379 2.713216630456925 -0.05646445991549687 -1.9583719189350628 0.0 0.0 -156.3901900002698 -13.924762875116855
-2.8276229879163037 -1.6581300716637717 0.05444092878563236 458.5162620630174 53.35063518306255 0.0667661188561849 1.0864068622398326 2.165381030142063 -0.4057354121063428 -7.6272425249183 0.0 0.0 -156.35814297787937 -14.338125810883085
-2.82704176869806 -2.7437040063731137 0.019371542231653913 2766.805518195435 52.35137605050876 0.042883948030690906 -4.106168127781719 2.6078928128964343 -0.33371787273756404 -2.037159492295607 0.0 0.0 -156.35741506003185 -13.665016609521981
-1.2730493598677928 -2.536613002988354 0.014299290188240901 954.8090259052516 53.18351777248443 0.061927228265046645 0.006889449537452741 2.121003939371756 -2.1032542770361413 -3.655915381388124 0.0 0.0 -156.35500548829495 -13.957111947300458
-2.0166505646910866 -1.3187419873112967 0.013061522525096089 2815.933067725969 52.17171602286618 0.047047338833530856 -3.2337237491298585 2.273921781759616 -0.15554100380853786 -2.23098995045122 0.0 0.0 -156.34435950906695 -13.694185645462397
-2.138800914359142 -1.3021643808440218 0.025110229465699574 858.0093246995807 52.783904206326895 0.09179989575064847 0.3973616051925717 2.2420443705342334 -1.3036131608501926 -4.7072361870198565 0.0 0.0 -156.32128563946384 -14.361514591378242
-2.733319962835813 -1.119595372207609 0.02391123487541194 741.1269822821009 52.3457969150602 0.1527058262287102 1.891424380218659 2.2268489123435136 -1.3880000916547166 -4.921863402409944 0.0 0.0 -156.30900874335686 -14.84526580621051
-1.005717800921251 -2.4385258837132238 0.028573247154593962 1469.5890207453056 51.724586061852385 0.0391986250005437 -4.446730767405031 2.5265220594804774 -0.30685254091435343 -1.2796985351875172 0.0 0.0 -156.20117128708623 -13.738808230293326
-1.7159139451821932 -1.5573328751434978 0.012731828471550374 2230.630914116655 51.88524042156532 0.061017161634705296 -2.8379227223349694 2.579630032153909 -0.04938719896345134 -2.5988879843919968 0.0 0.0 -156.19184193902944 -13.937418109143046
-1.550836213919941 -1.2397321433147037 0.0314021342812049 1814.283856006091 52.5984711846399 0.028821930145376526 -2.4505726011677127 2.229074914073538 -0.17579274898463026 -3.1785492148182044 0.0 0.0 -156.13561531298416 -13.759159422279964
-1.5563421989762134 -2.6193055700696806 0.013563861744101702 2697.838545606367 52.14204033034046 0.03219560022131729 -4.113895987261756 2.499399175185065 -0.38763974327896644 -1.4813841615972851 0.0 0.0 -155.96593138994902 -13.36506824769549
-2.114309024951 -0.6659098988397352 0.021200310870731875 2161.1224852606874 51.8400168313699 0.052621510551193934 -2.7172751461286144 2.332320417309885 -0.2631229390105281 -2.0044495555357127 0.0 0.0 -155.9001120214513 -13.84877582004107
-2.3575721409171972 -2.801554899426099 0.021793154733290354 1131.2482038808362 51.83386115372472 0.04635052209626207 -3.962459929439465 2.4840672247013424 -0.31281543474697493 -2.045871872798304 0.0 0.0 -155.76478526760098 -13.751261335569168
-2.429228786353305 -1.196233505587848 0.005171430213854406 1567.670833459268 52.78799448310717 0.01406117044558374 -5.243866074147318 2.5462277569209966 -0.12221201238290114 -2.5217359086863924 0.0 0.0 -155.731402147063 -12.515542023376657
-2.81636511859093 -2.4384313654174496 0.010349670350513228 613.8559608061792 54.055891747947186 0.03213024016888006 -1.9860046544313876 2.1817383392279472 -2.887349543538873 -3.2767288824285945 0.0 0.0 -155.70638513869667 -13.326170557096106
-1.5905042062909454 -1.414383771638779 0.018777742163135415 1506.3113938373472 52.494663134833225 0.03180346485833696 -3.107949628502157 2.317329635193615 -0.013206591744687302 -3.52088090826312 0.0 0.0 -155.6955998961848 -13.438372941217295
-1.8378806059481794 -0.8313131875544597 0.0518777558919274 2615.072668751341 51.72547740145877 0.07609106090241616 -1.9162971932810065 2.358028178065819 -0.011635979050523382 -2.6191819072287466 0.0 0.0 -155.6639318690868 -14.36883978399537
-2.7802709239700234 -2.700008723987952 0.04619712506380578 418.9791935413886 53.26517948553934 0.05675788021019885 0.5174116481057682 2.1834133732221717 -0.8050310085775658 -6.577391292210308 0.0 0.0 -155.58901852669453 -14.17453165187544
-2.395517050639494 -2.0329298694154643 0.023947629037102888 578.4790418151429 50.76124661546069 0.04595673678277255 -4.5696043660401795 2.1890099090207737 -0.0670573109269883 -0.5307661018940397 0.0 0.0 -155.58255004554928 -13.767961709326858
-2.2516687521977388 -0.5317128042409172 0.004731926784094485 1279.026570201433 51.539499524337415 0.03727603134878417 -4.917365253187727 2.5945220100310222 -0.3959077053498703 -0.7316098819632284 0.0 0.0 -155.57982876264384 -13.430901267463796
-1.7405832202464975 -2.576049565870917 0.02672496941982734 1059.388483509906 51.01281467265737 0.06454239441462263 -3.7854498120340625 2.4528093619352984 -0.30804806039887644 -0.940424870361106 0.0 0.0 -155.55379881563672 -14.05754211872027
-2.3437054571370433 -1.6864899719780688 0.010981593088281307 477.17439882729406 52.02284481282928 0.14427957251070597 1.295128216897151 2.129943738088431 -0.5582115866669319 -5.620477632389823 0.0 0.0 -155.54960272760738 -14.77914294855669
