Nested Sampling Global Log-Evidence           :   -0.166629786688081595E+03  +/-    0.838980343310517240E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.166629786688081595E+03 +/-    0.838980343310517240E-01
Local Log-Evidence   -0.166629786688081595E+03 +/-    0.838980343310517240E-01

Dim No.       Mean        Sigma
   1    0.193587340927778677E-01    0.119028643592023579E-01
   2    0.185578898701479920E+04    0.696749698104654044E+03
   3    0.517188480894996161E+02    0.666658548095920844E+00
   4    0.115536979411278051E+00    0.598212606226207338E-01
   5    0.539409334758403497E-01    0.491138463094577676E-01
   6   -0.399139908343152561E+01    0.954452946855565032E+00
   7    0.244676443195221882E+01    0.107424399244006305E+00
   8   -0.183226461917115363E+00    0.144154964738733959E+00
   9   -0.146372805384498150E+01    0.864564356041561677E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.689202665404519636E-02
   2    0.255424189488642332E+04
   3    0.517776201564307073E+02
   4    0.979930585242934638E-01
   5    0.252124442947542667E-01
   6   -0.494291012353641257E+01
   7    0.231040749625528008E+01
   8   -0.445727729330832823E+00
   9   -0.702218202712625583E-01

MAP Parameters
Dim No.        Parameter
   1    0.689202665404519636E-02
   2    0.255424189488642332E+04
   3    0.517776201564307073E+02
   4    0.979930585242934638E-01
   5    0.252124442947542667E-01
   6   -0.494291012353641257E+01
   7    0.231040749625528008E+01
   8   -0.445727729330832823E+00
   9   -0.702218202712625583E-01
