inclination_EM luminosity_distance log10_E0 thetaCore log10_n0 p log10_epsilon_e log10_epsilon_B KNtimeshift Ebv log_likelihood log_prior
0.0834089725575054 631.7736977651797 50.52023177880014 0.09461274592224277 -4.452315715468734 2.963277232604914 -0.15214706975109937 -0.36569561483746327 0.0 0.0 -168.6764211836889 -13.133441926016097
0.0389854483533372 2921.1158621443747 52.1942980969008 0.07123896930917319 -3.9694871235753526 2.5554903626520966 -0.7972544583563055 -1.0819583737016973 0.0 0.0 -168.38797137635635 -12.610836254268524
0.1456884818410265 2193.4420127123435 51.70177762234773 0.15609222639360315 -0.6938924660596477 2.3215225138349047 -0.09994779606371473 -3.134250786027854 0.0 0.0 -165.3776194511163 -13.681072049081298
0.021016865978132546 2091.5525192802793 52.74538878585886 0.047155849231888265 -3.122976546312757 2.4060104395469266 -0.30463036569236746 -3.5451519825226487 0.0 0.0 -165.32621039442685 -12.147833192707079
0.06343400978727023 2010.4316104665957 51.41758147496609 0.1115926824596327 -2.700026914060954 2.568059882751285 -0.3979472499717911 -1.5898890826274439 0.0 0.0 -165.18808724297193 -13.071474425694468
0.0020773262436717213 2009.742662649079 52.24021272790817 0.10489649930825619 -0.3656474563677161 2.0965227208158552 -0.7968226857292668 -3.0193446737365797 0.0 0.0 -164.44145030137923 -12.848225812728195
0.10817543881797828 1544.1077599588443 51.08367748511626 0.13423555364688788 -4.367454582812018 2.609416845632809 -0.3358320305200868 -0.4410893618523115 0.0 0.0 -164.36071952961038 -13.4193591179464
0.024860402525518247 1268.3951423629692 51.415010395278905 0.046886013399137755 -5.619215097886463 2.844786098040752 -0.3490173897080222 -0.36640643870779144 0.0 0.0 -164.32121530053914 -12.183347272174068
0.004356234803646227 2475.3556595990553 54.22717956944693 0.026736857495701205 -3.92501097268667 2.5779414446868683 -0.09525248607180092 -5.601146220636058 0.0 0.0 -164.1285354113296 -11.494371706720603
0.04709096479075189 2308.6361623549988 51.68552215019695 0.06428447603036316 -2.994907806695104 2.9750036809871814 -0.13314064781215862 -1.962940690217378 0.0 0.0 -164.07098454651495 -12.626681343997362
0.05669672230215131 2224.929725439081 51.22547482302931 0.1500090977696195 -2.0751743844630046 2.65385470094979 -0.05000827209576375 -2.080751310790405 0.0 0.0 -163.54357133825346 -13.277176434417253
0.11675712888753298 986.2296123526298 51.29706700279242 0.11935404746721132 -1.9102882130662362 2.4822806910291315 -0.011191379650036026 -2.6933263220570307 0.0 0.0 -163.27497215082727 -13.455628440411637
0.028501693015776874 626.118033448187 51.87410874454571 0.027193615984754026 -4.638155778784851 2.5792167544185376 -0.3784544528295575 -1.6920169424954583 0.0 0.0 -163.25823861605542 -12.047297093639038
0.05922675528564231 2014.8384292040416 51.652516890465286 0.09210598863365942 -2.034226453691814 2.5986548596079144 -0.2517609399444689 -2.4806681932778227 0.0 0.0 -163.06355360279372 -12.924738226306044
0.07469854980727278 1297.6316270614682 51.952970972965566 0.25098731355043075 1.9945814571462268 2.072985305264049 -0.6221376008386885 -4.746745300107537 0.0 0.0 -163.05474507925348 -13.762992294610353
0.022085483478839377 2762.712298008685 52.16716884485554 0.055360421109302206 -2.9217495137502922 2.142262689715042 -0.5450457804741413 -1.7317458234142933 0.0 0.0 -163.04305005994496 -12.288497037483364
0.07249672107809124 2810.568201838391 52.478981667231736 0.08774712761021157 -2.5302718359827883 2.339075172999376 -0.0011311721258602248 -3.4848558528266596 0.0 0.0 -162.96992924921884 -13.010818343326484
0.028841580134300483 2233.2910103589275 52.767546758602926 0.06508936899363943 -1.9247359065869052 2.5145691565439448 -0.2388392445737928 -4.164110884480994 0.0 0.0 -162.9351625955236 -12.468988889510339
0.01584521544121313 1284.7685083308434 51.75953122619022 0.07465675854584572 -3.178774327943236 2.3925885383816605 -0.3542797359152967 -2.1992968594465605 0.0 0.0 -162.93129658907455 -12.530479728634745
0.05807310910577036 638.1239190161365 51.22835734108681 0.08146527671280493 -3.0525373462229166 2.3179390278893197 -0.45476263865309186 -1.6976740245151714 0.0 0.0 -162.92790634638146 -12.849315149790801
0.03741855681695803 1529.5551483985616 53.94616079869523 0.06471703336347018 -0.2527832383448603 2.0825403229394164 -2.3966592234895137 -3.864093493791967 0.0 0.0 -162.9089010915451 -12.532230200263097
0.019309533605593582 2924.744860597416 54.21755899144366 0.02401833917003297 -3.340780947682886 2.6995612741931816 -0.007342969609863914 -5.622220544838853 0.0 0.0 -162.88823323365875 -11.697040710154731
0.06309695354637707 1314.8778069138136 51.218238983859536 0.08508551884238924 -5.014678109227425 2.7145381167469402 -0.5091016264729937 -0.07121902292024984 0.0 0.0 -162.59171834607739 -12.913676209650855
0.06815440126918591 884.911468726788 50.7993888855601 0.10201163551167478 -4.75574506015058 2.692324932965307 -0.2429970352030031 -0.36958324323363456 0.0 0.0 -162.51787908804155 -13.043324064476817
0.020932343385375942 1637.9845975957148 53.19815347802953 0.02344247312775706 -5.313411978317443 2.7485668660304508 -0.1595118450965689 -3.2254072770551288 0.0 0.0 -162.50763984331005 -11.748261548660903
0.0068617883361157825 759.8348244160135 52.21728312943634 0.021609497819200633 -5.998070422215154 2.7147147078335845 -0.15147840804798385 -2.1207866509494426 0.0 0.0 -162.48576134243032 -11.318602990362884
0.064268096714224 1739.5959265638342 51.77785805487419 0.06742830819703385 -2.5039417341220953 2.514791208502605 -0.3196689354543256 -1.9587318720095617 0.0 0.0 -162.44687158246072 -12.860351077090883
