log10_Xlan log10_mej log10_vej inclination_EM luminosity_distance log10_E0 thetaCore log10_n0 p log10_epsilon_e log10_epsilon_B KNtimeshift Ebv log_likelihood log_prior
-2.5165991901257962 -2.0472102750604533 -1.3448688335353736 0.08276769677851917 1320.687558752291 51.61695474171668 0.10991521875472016 -1.7444456707857459 2.3082684906057955 -0.040290217801358 -3.0633227276333965 0.0 0.0 -106.71919084246679 -15.418723635235779
-2.0403469839831057 -1.550208957038355 -0.9361795024876308 0.07039779285519715 846.3182928683647 52.87912502060094 0.07946357157783825 1.4223572388129906 2.0803108343623817 -1.077647707497186 -5.122653709043466 0.0 0.0 -106.34922397235117 -15.203218691168008
-1.6226115674359556 -1.4148888066494867 -0.49441227716723724 0.0033284960266813314 712.0213212339589 51.1054741018077 0.04172896845123177 -4.750380322382023 2.2956247225903468 -0.8060303900146168 -0.07685765096048769 0.0 0.0 -105.74701666267629 -14.16987604851753
-1.5139193540404747 -1.0163161059300303 -1.0621556656565336 0.035777734243786934 713.2017816698304 54.16994878416685 0.10763060997870759 1.8327693072482267 2.2495738228202047 -3.179134126548972 -5.148481739195695 0.0 0.0 -105.70757442518695 -15.169453316874371
-2.5756167282320073 -2.3666614494371503 -1.1754608126359258 0.03272253231661795 2356.434264128023 51.817616890921144 0.056709348630163435 -4.154643137672778 2.5935097176482955 -0.17179845491429457 -1.4265412601023293 0.0 0.0 -105.67333506263624 -14.639915449230077
-2.2911815120881474 -2.425241295391331 -0.32320461208697115 0.015568502780421717 1147.9392843554886 52.07640059098043 0.03139249994593211 -4.774957749405995 2.6150420594005346 -0.2796644248926672 -1.8148900601687163 0.0 0.0 -105.35997767239911 -14.005041887169327
-2.2985853490658146 -1.6561925626422278 -0.7067562723038303 0.015931727852796684 335.79498236669104 52.84637648359173 0.1226541430136869 0.535320608595871 2.1262195095489487 -2.2231489211305493 -4.590664337984585 0.0 0.0 -105.23193807509556 -15.253303722245523
-1.6954250458467706 -1.1316074196083203 -0.860304982199352 0.01809534224165222 2447.0169972346325 52.5089920870271 0.10374003253647206 0.0399987601789924 2.1981748698502352 -0.17432131481351032 -4.808486662333722 0.0 0.0 -105.2276733487673 -15.092600216965984
-2.7759299217894773 -1.259623485817232 -0.6593589052259925 0.025068836700206206 1370.3233535468896 51.55833806740436 0.039861972199120174 -5.0026366385783225 2.7630525103409562 -0.32712265970275123 -0.6359176201815018 0.0 0.0 -105.16796328343884 -14.318674029815899
-3.9850928127979484 -2.000120948112002 -1.1416202770435246 0.042712930443760774 1271.8373552682585 51.62041665034944 0.06615701351939358 -3.2026261245785066 2.433075791587641 -0.23450931733179559 -2.103728623464308 0.0 0.0 -105.06841894345557 -14.83594901641882
-2.0533468783650757 -1.7009372157445877 -1.4514398721135715 0.037694276898889115 603.7824927827461 54.3521602791749 0.0636487252640694 1.0477578901002467 2.221747405333971 -1.2169271393356098 -7.981411041280217 0.0 0.0 -104.95192550993907 -14.76424296596878
-2.2620975704701722 -1.6323114291680958 -1.5475210022892472 0.024418095737340176 842.8409564419127 52.178336464918075 0.02838430415303681 -4.573539587732191 2.3851099303995085 -0.3150033371121701 -2.0150014612374347 0.0 0.0 -104.74449247257296 -14.151365723997227
-1.395440322223147 -1.3854691707579756 -0.5990332940829157 0.016753915812862355 568.4564724750898 50.89989736519484 0.04962726020199998 -3.439795223363925 2.709378810921364 -0.2946195782974783 -1.371687499496172 0.0 0.0 -104.66278583770162 -14.397024756918398
-1.638015460042717 -1.3456091825804348 -1.142017692481486 0.0534124984653557 1499.456177311521 51.28889015717925 0.09448152873549263 -2.1141556551020018 2.3551354638798725 -0.15023476944612035 -2.2257128056911766 0.0 0.0 -104.62719328306987 -15.143698179138745
-1.1124992186147962 -1.3977745290281376 -0.9761046325436485 0.016855548922745534 2060.175781710292 54.091389386173226 0.018267027176644156 -3.9347107408394493 2.397961128717398 -0.13309865732687065 -4.914265121335574 0.0 0.0 -104.61021783015099 -13.766312997106926
-1.9179801042212588 -1.3715711051429478 -1.0784235793564383 0.030471880190558385 1582.6788240630863 53.14783402826603 0.05600260170177028 -0.9052771105456756 2.0481240466737707 -1.4552622322250675 -3.2248728668450717 0.0 0.0 -104.577170750884 -14.608928229052683
-3.311747220597555 -2.168197721590561 -1.3621745451440928 0.04917972773778932 214.76856495802525 51.80346330664405 0.13324163823452492 0.7247278336897613 2.1621412390930255 -0.18765149880483367 -6.23973843386127 0.0 0.0 -104.54357112310532 -15.395781647255557
-1.5762370288076668 -2.238508657080377 -1.3811735454431098 0.03293917927626221 2611.647176962095 52.87691645816332 0.04004880263367497 -3.44753461630289 2.565584878705942 -0.03555417078092571 -3.4564273707571935 0.0 0.0 -104.51444953388335 -14.46383144249322
-1.145676685063953 -1.6003331279233368 -0.7296591573553632 0.046329268931477326 478.25901137297177 54.24413787268504 0.07178235090539371 1.0104481779685868 2.1021501882521956 -0.06558020200653658 -9.897510445904235 0.0 0.0 -104.51104098735657 -14.917416940475324
-2.3242423274041806 -1.7995926725501104 -1.0433797661941517 0.016733250809116054 988.8725271373788 51.35176615090455 0.04835578032912105 -4.0549166673377 2.1984299958008506 -0.3130017061763377 -0.9840837505429647 0.0 0.0 -104.3524997261131 -14.373958432404788
-2.3997977204126726 -1.0883613092840971 -0.6094590094740848 0.015335626610989205 1540.7257815165779 52.300226423095495 0.025986794242409128 -5.037489342230956 2.3327782770638383 -0.3995640957839335 -1.3355190576387486 0.0 0.0 -104.31288442745685 -13.867215380936898
-2.0809994046985087 -1.1415953264132008 -1.56232189200689 0.00010253549143191904 767.7295895818656 52.0224734566379 0.022811523731139063 -5.5299699283224495 2.283356855054101 -0.22291695898860198 -1.5708241870108939 0.0 0.0 -104.31213701706983 -13.562775212284727
-1.5705806068020003 -1.3715224536629878 -1.483408081423135 0.00029509943554951985 619.8117145246675 53.867764910352335 0.061471163770864576 -0.11655415523491808 2.179585070852502 -1.4537892846520615 -6.222896801254047 0.0 0.0 -104.26066964133013 -14.554078981181483
-2.5034246809649767 -1.219293122666265 -1.0465368722128812 0.049153234775868485 2201.7310367352693 51.273531187792784 0.14268777014592615 -0.9476047246250596 2.275653266276759 -0.03843506269304697 -2.5838270691348235 0.0 0.0 -104.1745959654158 -15.45549165712097
-2.702736255523475 -1.9013518530616882 -0.9902846421596073 0.015330356472736187 351.9365171238319 52.593469212923345 0.11811916453920789 0.7675220938677123 2.3263163746007587 -0.4416411135496343 -6.970768084807256 0.0 0.0 -103.75320012580256 -15.215615618551059
-2.116372317669186 -1.1678892929700733 -1.0587262937484363 0.022441361870256336 763.3714475728109 51.71075223921525 0.183653721866852 1.210202186749262 2.084777074912086 -0.45048894463302513 -4.806588253623918 0.0 0.0 -103.74424906303918 -15.655998001893792
-1.7001659514660812 -1.512359532123059 -0.5899637031109468 0.009806583939484392 928.8611512640133 53.21504842681613 0.11342445599211982 1.6293191619206846 2.1381712567887927 -1.47893945300628 -5.78450555157015 0.0 0.0 -103.6475228628889 -15.170373898237589
-1.3811899715073532 -1.4224143164390468 -1.2973833733522677 0.01151048258104125 1387.57573548191 50.98366761129283 0.0677424611768032 -3.226298536916843 2.2211672910521587 -0.15697464010931395 -1.003638188193987 0.0 0.0 -103.6345994171445 -14.665648064094484
-1.9135502807962919 -1.4065327267519703 -1.267827156457096 0.012892529551297714 686.9625571675001 52.896351277157876 0.03959635029778192 -2.9520687884514243 2.242787899693448 -1.309556194239998 -3.1906072862575936 0.0 0.0 -103.61075228258123 -14.167243558729513
-1.4492432590627442 -1.13678437727914 -1.0976987688551567 0.009251422236910023 1413.5640464379146 53.45166749736036 0.02812420509384076 -3.038604893914797 2.352208080408773 -0.010930139193545685 -5.329158795142766 0.0 0.0 -103.51672438369313 -13.826233513485803
-3.48887925266157 -1.5822962186704292 -0.9926517048530795 0.022677444642884053 1299.4609870624083 51.9295262598936 0.03656291682329153 -3.7552156682357705 2.394928814001632 -0.27099168638075 -1.9408917362488083 0.0 0.0 -103.50585261279599 -14.226876880446842
-2.19246744776269 -1.1819184075779308 -0.9314628204768187 0.0001704742813403822 702.6607430637737 51.82517951031359 0.10263470895591124 -0.8971252915125394 2.1780348860241507 -0.1992618867705822 -4.368242038193414 0.0 0.0 -103.50529020458532 -15.066676824021368
-1.1244154929625783 -1.6065864775031855 -0.9336103326552305 0.0413230758520291 690.3382738300967 54.09643704806993 0.09657565019076494 1.0545588183611425 2.188181340848203 -0.3649741910057429 -9.041938840091799 0.0 0.0 -103.50463773464674 -15.09736783337749
-2.6565122779431745 -1.038737753858035 -0.8799235012817882 0.029211499251539964 1231.041112054724 51.086035211894455 0.11830580915226141 -1.0267787123511853 2.30208546890919 -0.2653743221054494 -2.552797036388754 0.0 0.0 -103.49026500506594 -15.239255701311688
-2.9300291902705204 -1.2986728519764177 -0.6458826625479996 0.07011420216614483 1247.5936105116723 53.44580884820863 0.10229432496324756 1.7798255314834996 2.174596751271578 -1.7333714164316847 -5.555083486216939 0.0 0.0 -103.46163754284889 -15.298251254006054
-2.157956407866816 -1.516826742531453 -1.3216214807784954 0.007718323540519041 495.52130112432195 52.11696682444488 0.08793380339781513 -0.9887891017687718 2.218863673167351 -1.2317471456313656 -3.449108386416663 0.0 0.0 -103.4150052449455 -14.915935731819093
-1.7400107828304767 -1.6352430128732962 -0.5478901066256154 0.02837320664454076 452.6921134914714 52.5249351605326 0.060578474044552605 -2.005627806735093 2.1600885027677013 -0.7906813847296128 -4.29918738568303 0.0 0.0 -103.35075646823819 -14.64912463591816
-3.1953982407557335 -1.5796764293813752 -0.8153822693736461 0.004269408539196781 1479.0146382408004 51.77263082987344 0.04312717174951906 -3.764779199811322 2.2887416413790747 -0.4928928559739134 -1.3268092606146773 0.0 0.0 -103.32920701104874 -14.204552592091584
-2.2449708619146564 -1.7997215195470067 -0.7891863916807789 0.001665517601562722 522.1036312979896 54.98911442784906 0.041219807211996216 -0.19858580708820295 2.3795114268780964 -1.2721914503717215 -8.389776618461374 0.0 0.0 -103.26837440777398 -14.15523448623404
-1.7480739769578753 -1.8040448320022335 -0.5430305180802388 0.03206644527190936 401.93685847984443 52.61366566839765 0.05552166884882382 -1.499713861638778 2.1279558149654036 -0.4516159433210474 -5.164814238485887 0.0 0.0 -103.24219642353287 -14.619053666903568
-2.561439370189741 -1.023091191113363 -0.6348871525503719 0.01131200387840432 2459.3369302504 53.002110943099595 0.024477478744961367 -4.014582466145805 2.349787521750011 -0.16262003774158273 -3.044501111009442 0.0 0.0 -103.18449199545393 -13.7400390821902
-1.169492266474438 -1.5578431796292864 -1.3835368918197277 0.07595020032805261 369.82031755198506 52.64867000867714 0.08061468474546914 1.1284748433299425 2.1204295242103424 -2.0631977630282723 -4.30427452306647 0.0 0.0 -103.17904235693692 -15.268992602818084
-1.637073035958775 -1.0238278535198129 -1.0017932748872616 0.010724171273382722 854.2357059646293 54.12938635207224 0.06163777816622696 -0.11286323337833526 2.1657790677987214 -1.5148046072257602 -6.282082129326447 0.0 0.0 -103.12386004159828 -14.571909975349062
-2.431738683584018 -1.4136358766719463 -0.8046703530469097 0.03711127114688345 2370.454716366275 51.501658140848264 0.043267900060075436 -3.6495606976415944 2.2702834197705175 -0.1836992708963976 -0.6997084211261857 0.0 0.0 -103.06867815158627 -14.570742737868564
-2.6525735745428047 -1.8868262576011867 -0.9076857509596475 0.014108022737150233 590.3656002742464 53.689631039331424 0.06134605521766816 -0.473958345114605 2.1258184450596866 -2.2706901714156134 -4.7964734667781705 0.0 0.0 -103.02138037130507 -14.57847425879389
-1.05811013373128 -1.0923823759899658 -0.7946342294698465 0.04570525769284489 2514.0192414021785 51.7265838732074 0.07147157567464286 -2.453791563564722 2.167246488054153 -0.07138916290395692 -1.9409744697338063 0.0 0.0 -103.00171974835695 -14.909271935992173
-1.5582630683488516 -1.088857337789229 -1.7557451036803924 0.006881744045001981 725.1463069066956 52.533456322123925 0.027869189432423863 -4.642131642236383 2.50854652828733 -0.24388203492982896 -3.265074418177475 0.0 0.0 -102.85040700109104 -13.793508289967917
-2.009083658515443 -1.6322050403599602 -0.9233806146547449 0.057906478130005115 452.5783724009168 54.62201052667944 0.07369134581676343 1.4068518139823496 2.3110775984948413 -1.2454561953024 -8.767653177519275 0.0 0.0 -102.84598984775057 -15.044123528507
-1.2337995108631787 -1.5538647882099899 -0.9539225398156778 0.023352227445377825 711.2149053360364 54.7827028831972 0.07649043648469048 0.9866324857686388 2.21306924705909 -0.6612444854851471 -9.556717041988732 0.0 0.0 -102.81760563164613 -14.819267831266977
-1.898513341160465 -1.5430887110673557 -0.712740061814104 0.013392750698294115 615.7187672356866 54.20144022649301 0.08028878068998879 1.2336125546587091 2.30820374376154 -2.6777179350057354 -5.740664912034735 0.0 0.0 -102.72858076304333 -14.835041498200141
-2.7688473302834504 -1.7816077076194776 -1.1380199258427597 0.010753932187017874 295.1442476024399 54.35661508548164 0.03346625386463959 -1.0323752975022558 2.146464765112 -2.184707565853042 -6.110412174877317 0.0 0.0 -102.66692840903148 -13.997665463760558
-2.8134276324008543 -1.1998216347490431 -0.8595772665737164 0.004234728087618121 1560.9637122959027 52.44248741891698 0.035360389155123566 -2.817404307553805 2.2097194374601576 -0.6771352827701396 -2.50964601812663 0.0 0.0 -102.66185211338642 -14.008262638397632
-2.5440310219491513 -1.3473934235398184 -0.7921271783620445 0.013174825814797404 898.8167274349593 54.53052796387293 0.06054792443963378 0.4783394147026412 2.055516491348353 -3.5530560389060177 -4.197544335027005 0.0 0.0 -102.64261683729661 -14.562607899448327
