Nested Sampling Global Log-Evidence           :   -0.115512225405946793E+03  +/-    0.799136858299508424E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.115512225405946793E+03 +/-    0.799136858299508424E-01
Local Log-Evidence   -0.115512225405946793E+03 +/-    0.799136858299508424E-01

Dim No.       Mean        Sigma
   1    0.326432507117748614E+02    0.155340188727581037E+02
   2    0.231722592720107201E-01    0.141056869011944776E-01
   3    0.188890100610839158E+04    0.682876690412230914E+03
   4    0.516716628826270679E+02    0.643867726322019496E+00
   5    0.114556995850341806E+00    0.664283075268053691E-01
   6    0.717960323722608013E-01    0.645755460563201128E-01
   7   -0.376957228477365813E+01    0.998344225532269314E+00
   8    0.245363230964397161E+01    0.119679312609790159E+00
   9   -0.180567388134233175E+00    0.150905153019885746E+00
  10   -0.149943835130295255E+01    0.861751674492797104E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.172426665460140534E+02
   2    0.786162123209404110E-02
   3    0.264060498713754077E+04
   4    0.514068342822254820E+02
   5    0.148205773593286516E+00
   6    0.364418386921657386E-01
   7   -0.364976210492827402E+01
   8    0.219244876034189984E+01
   9   -0.276650866583949551E-02
  10   -0.548891736216557291E+00

MAP Parameters
Dim No.        Parameter
   1    0.172426665460140534E+02
   2    0.786162123209404110E-02
   3    0.264060498713754077E+04
   4    0.514068342822254820E+02
   5    0.148205773593286516E+00
   6    0.364418386921657386E-01
   7   -0.364976210492827402E+01
   8    0.219244876034189984E+01
   9   -0.276650866583949551E-02
  10   -0.548891736216557291E+00
