Nested Sampling Global Log-Evidence           :   -0.167337673895511188E+03  +/-    0.790178781491322341E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.167337673895511188E+03 +/-    0.790178781491322341E-01
Local Log-Evidence   -0.167337673895511188E+03 +/-    0.790178781491322341E-01

Dim No.       Mean        Sigma
   1    0.300421336660744789E-01    0.154941767778211184E-01
   2    0.182181537478745440E+04    0.713527524691803023E+03
   3    0.518670917633873145E+02    0.843139429470819102E+00
   4    0.505622897742821972E-01    0.240357808928808314E-01
   5   -0.407879423990796397E+01    0.999719033305399352E+00
   6    0.248954155942984912E+01    0.979759239545925364E-01
   7   -0.194166140753165767E+00    0.154132914584679565E+00
   8   -0.175522701971121231E+01    0.103003808711295863E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.493101104589869291E-01
   2    0.640034712348622520E+03
   3    0.503536430400407227E+02
   4    0.795834556645339253E-01
   5   -0.379182630697066791E+01
   6    0.250095219421881731E+01
   7   -0.505718202913083559E-01
   8   -0.576045480934205045E+00

MAP Parameters
Dim No.        Parameter
   1    0.493101104589869291E-01
   2    0.640034712348622520E+03
   3    0.503536430400407227E+02
   4    0.795834556645339253E-01
   5   -0.379182630697066791E+01
   6    0.250095219421881731E+01
   7   -0.505718202913083559E-01
   8   -0.576045480934205045E+00
