log10_Xlan log10_mej log10_vej inclination_EM luminosity_distance log10_E0 thetaCore log10_n0 p log10_epsilon_e log10_epsilon_B KNtimeshift Ebv log_likelihood log_prior
-1.1537461873182449 -1.1189483166332457 -1.3176857002082882 0.026765622274393854 597.4345497597908 53.71271046622523 0.11651210651439384 1.6990019517036412 2.0896330133666057 -1.8381997977176652 -6.6306209458482 0.0 0.0 -152.70433994719173 -15.219881009777929
-1.7323417736121436 -1.5528437918273363 -0.77445108026803 0.04929762740556747 708.7140173335654 51.555015097594335 0.06150045326238208 -1.5585281276012806 2.408964501684225 -0.5912402507455168 -2.4785288451767142 0.0 0.0 -152.32200661813695 -14.875810294460276
-2.534529761428 -2.2005533864235858 -1.0108401190474232 0.08003988247277607 188.01587476172728 51.55601755539303 0.2091123605943635 1.4404670349665585 2.3322541489333637 -1.446869126467651 -4.540127998742049 0.0 0.0 -152.26612785252524 -15.85145090911427
-1.4635007325615272 -1.7971997808748774 -0.791624748926959 0.016193911250625723 941.0908039864936 52.11375403029585 0.08999320288619087 -0.6798761924782282 2.1784952174033547 -0.9084470158749793 -3.437641312380756 0.0 0.0 -151.49688110777336 -14.951423689327449
-1.6986425148292321 -1.3753473727551695 -0.865651415156454 0.002703142440357383 659.915519484529 52.39042622327728 0.02859571557222912 -4.493973137341963 2.32738495021025 -0.9838574414837629 -2.036628226738401 0.0 0.0 -151.10792135890745 -13.793224102150038
-1.9110033534084208 -1.0193730729624724 -0.8299244840480668 0.04257033699589579 1513.8339353185954 51.970596579852064 0.03914998068537453 -1.8574194768202483 2.3006419170643695 -0.5183577662973864 -1.9672099000065426 0.0 0.0 -151.00203552903253 -14.69408103267196
-3.2819202165853545 -1.9367222493742537 -1.0028115803798197 0.006588005317589495 451.64330633603396 50.50181261948945 0.08936400703299666 -2.288728257945287 2.224638611408107 -0.3028233873878001 -1.6069025941284938 0.0 0.0 -150.8253085836183 -14.930934664402791
-2.153742604538635 -1.6665672090581007 -0.7423172041360464 0.01607471101478076 515.5142483464685 52.40352656899358 0.1700250237612748 1.4274652905788203 2.172198826590329 -0.8515219355925643 -5.902605934647242 0.0 0.0 -150.37877249666943 -15.575910258750465
-1.9847848961938288 -1.4347462077061617 -0.955921338544773 0.02801649243983373 673.5115520232098 54.255447766877936 0.08468562384402908 1.4082609633520153 2.3247868363144373 -2.109047104512208 -6.510906623030074 0.0 0.0 -150.27114224792865 -14.929169171473891
-1.2895848119963347 -1.104432389537086 -0.9593029115312612 0.00852833784874947 858.045140795934 54.13644253571561 0.03985145066002829 -1.0645275534033365 2.1242246734739627 -1.035671990042987 -6.310985316094346 0.0 0.0 -150.1296425147262 -14.143556766909061
-2.1952258665284416 -1.632111651473483 -0.5634239209023724 0.05902285689363146 476.75318213858327 50.69919356864249 0.11104860298060512 -1.1274608348035207 2.0973560032957987 -0.2698619551726491 -2.0932763354960757 0.0 0.0 -150.09255540397288 -15.28671588024923
-1.062498893720707 -1.7320193354528017 -1.1964647575246228 0.02341598913489632 456.2308729582772 52.561700245615036 0.14608518644026253 1.324665670621192 2.2466401744716955 -1.580412200989021 -5.075862665955294 0.0 0.0 -150.08338289182254 -15.432535555567227
-1.2226324288155417 -1.742194157630753 -0.655529279931939 0.007837797263755036 607.0381857683226 52.94666232713641 0.12011364634197139 1.4409194291763798 2.1752254105278146 -1.3630925562772456 -5.827256923144571 0.0 0.0 -150.05201681347492 -15.22606661122958
-1.85316409925766 -1.7648026346851122 -1.066474777568847 0.01857612544030769 314.06871894253334 53.13561773256601 0.11900456026886315 1.3276610305231982 2.274639882010689 -0.420198942263422 -8.275849093104796 0.0 0.0 -150.03755272700297 -15.22684405603778
-1.8506458277819187 -1.5444970170671686 -0.7443525975523131 0.015367497621072429 509.5669716322609 53.239097906074974 0.03781843513201345 -2.104934048342891 2.171244479273242 -2.2270272237468625 -2.982248836882598 0.0 0.0 -149.9560095699796 -14.150855869594047
